data_source,Compounds(M1-M2-N),Original_Compounds,Current_density(mA/g),Limited_specific_capacity(mAh/g),Current_density(mA/g).1,Limited_specific_capacity(mAh/g).1,Overpotential(V),Atomic_Weight_of_M1,Atomic_Weight_of_M2,Atomic_Weight_of_N,Covalent_Radius_of_M1,Covalent_Radius_of_M2,Covalent_Radius_of_N,VanDer_Waals_Radius_of_M1,VanDer_Waals_Radius_of_M2,VanDer_Waals_Radius_of_N,Atomic_Volume_of_M1,Atomic_Volume_of_M2,Atomic_Volume_of_N,Electron_Affinity_of_M1,Electron_Affinity_of_M2,Electron_Affinity_of_N,d-electron_number_of_M1,d-electron_number_of_M2,p-electron_number_of_N,Difference_in_the_d-electron_number_of_M1_and_M2,Average_d-electron_number_of_M1_and_M2,Number_of_valence_electrons_of_M1,Number_of_valence_electrons_of_M2,Number_of_valence_electrons_of_N,Difference_in_the_valence-electron_number_of_M1_and_M2,Average_valence-electron_number_of_M1_and_M2,First_ionization_energy_of_M1,First_ionization_energy_of_M2,First_ionization_energy_of_N,Difference_in_the_First_ionization_energy_of_metals,Electrical_Conductivity_of_M1,Electrical_Conductivity_of_M2,Thermal_Conductivity_of_M1,Thermal_Conductivity_of_M2,Pauling_electronegativity_of_M1,Pauling_electronegativity_of_M2,Pauling_electronegativity_of_N,Difference_in_the_electronegativity_of_M1_and_M2,Average_electronegativity_of_M1_and_M2,Average_electronegativity_of_M1_and_N,Average_electronegativity_of_M2_and_N,Average_electronegativity_of_active_site_(M1-M2-N),Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,d-band_center_of_M1,d-band_center_of_M2,Cycling_performance
416,Co-Ni-O,Ni-Co3O4,500.0,500.0,500.0,500.0,0.83,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,594
423,Co-Ru-O,RuCoO?@HCNs,200.0,500.0,200.0,500.0,0.96,58.933,101.07,15.999,116,126,73,192,207,152,6.71,8.3,14,63,101.3,141,7,7,4,0,7,9,8,6,1,8.5,760.4,710.2,1313.9,50.2,17200000,13700000,100,117,1.88,2.2,3.44,-0.32,2.04,2.66,2.82,2.506666667,15.4,24.08,19.74,1967,-1.3,-1.2,440
423,Co-**-O,Co?O?@HCNs,200.0,500.0,200.0,500.0,1.18,58.933,none,15.999,116,none,73,192,none,152,6.71,none,14,63,none,141,7,none,4,none,none,9,none,6,none,none,760.4,none,1313.9,none,17200000,none,100,none,1.88,none,3.44,none,none,2.66,none,none,none,24.08,none,none,-1.3,none,300
425,**-**-C,N-CNTs,50.0,300.0,50.0,300.0,1.41,none,none,12.011,none,none,76,none,none,170,none,none,5.29,none,none,121.8,none,none,0,none,none,none,none,4,none,none,none,none,1086.5,none,none,none,none,none,none,none,2.55,none,none,none,none,none,none,none,none,none,none,none,31
430,Co-Cu-O,Co3O4@CuCo2O4,400.0,1000.0,400.0,1000.0,1.1,58.933,63.55,15.999,116,132,73,192,140,152,6.71,7.11,14,63,118.4,141,7,10,4,-3,8.5,9,11,6,-2,10,760.4,745.5,1313.9,14.9,17200000,59600000,100,401,1.88,1.9,3.44,-0.02,1.89,2.66,2.67,2.406666667,13.3,24.08,18.69,1736,-1.3,-2.67,146
434,Ru-**-O,C-AB@RuO2-1,200.0,250.0,200.0,250.0,1.1,101.07,none,15.999,126,none,73,207,none,152,8.3,none,14,101.3,none,141,7,none,4,none,none,8,none,6,none,none,710.2,none,1313.9,none,13700000,none,117,none,2.2,none,3.44,none,none,2.82,none,none,none,24.08,none,none,-1.2,none,212
435,Co-Fe-O,FeCo2O4 nanowires (with magnetic field),100.0,500.0,100.0,500.0,0.89,58.933,55.845,15.999,116,115,73,192,194,152,6.71,7.11,14,63,15,141,7,6,4,1,6.5,9,8,6,1,8.5,760.4,762.5,1313.9,-2.1,17200000,10000000,100,80.4,1.88,1.83,3.44,0.05,1.855,2.66,2.635,2.383333333,12.81,24.08,18.445,1890,-1.3,-1.45,150
436,Co-Ru-O,Co3O4/RuO2,500.0,1000.0,500.0,1000.0,0.998,58.933,101.07,15.999,116,126,73,192,207,152,6.71,8.3,14,63,101.3,141,7,7,4,0,7,9,8,6,1,8.5,760.4,710.2,1313.9,50.2,17200000,13700000,100,117,1.88,2.2,3.44,-0.32,2.04,2.66,2.82,2.506666667,15.4,24.08,19.74,1967,-1.3,-1.2,387
437,Co-Ni-O,LB-HEO（Cr、Mn、Co、Ni、Zn、O）,100.0,1000.0,100.0,1000.0,0.94,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,135
441,Co-**-N,3DOH-Co@NC（钴纳米颗粒嵌入氮掺杂碳）,500.0,1000.0,500.0,1000.0,1.15,58.933,none,14.007,116,none,75,192,none,155,6.71,none,17.3,63,none,-7,7,none,3,none,none,9,none,5,none,none,760.4,none,1402.3,none,17200000,none,100,none,1.88,none,3.04,none,none,2.46,none,none,none,21.28,none,none,-1.3,none,180
442,Mo-Fe-S,C/MoS2-FeS-MoC,500.0,1000.0,100.0,1000.0,1.18,95.95,55.845,32.06,139,115,102,209,194,180,9.38,7.11,15.5,72,15,200.4,5,6,4,-1,5.5,6,8,6,-2,7,684.3,762.5,999.6,-78.2,18700000,10000000,138,80.4,2.16,1.83,2.58,0.33,1.995,2.37,2.205,2.19,9.15,12.9,11.025,1270,-1.6,-1.45,83
442,Mo-**-S,C/MoS2,500.0,1000.0,100.0,1000.0,1.25,95.95,none,32.06,139,none,102,209,none,180,9.38,none,15.5,72,none,200.4,5,none,4,none,none,6,none,6,none,none,684.3,none,999.6,none,18700000,none,138,none,2.16,none,2.58,none,none,2.37,none,none,none,12.9,none,none,-1.6,none,14
447,Ru-**-N,RPC@700,200.0,1000.0,200.0,1000.0,1.25,101.07,none,14.007,126,none,75,207,none,155,8.3,none,17.3,101.3,none,-7,7,none,3,none,none,8,none,5,none,none,710.2,none,1402.3,none,13700000,none,117,none,2.2,none,3.04,none,none,2.62,none,none,none,21.28,none,none,-1.2,none,151
450,Co-**-O,Co-l-TCNTs（Co、C、O）,400.0,1000.0,100.0,1000.0,1.24,58.933,none,15.999,116,none,73,192,none,152,6.71,none,14,63,none,141,7,none,4,none,none,9,none,6,none,none,760.4,none,1313.9,none,17200000,none,100,none,1.88,none,3.44,none,none,2.66,none,none,none,24.08,none,none,-1.3,none,80
452,**-**-C,LCMF （C）,100.0,500.0,100.0,500.0,1.36,none,none,12.011,none,none,76,none,none,170,none,none,5.29,none,none,121.8,none,none,0,none,none,none,none,4,none,none,none,none,1086.5,none,none,none,none,none,none,none,2.55,none,none,none,none,none,none,none,none,none,none,none,26
457,Co-Ni-P,P-NiCo2S4（P掺杂）,200.0,1000.0,200.0,1000.0,1.3,58.933,58.693,30.974,116,115,107,192,163,180,6.71,6.59,17,63,112,72,7,8,3,-1,7.5,9,10,5,-1,9.5,760.4,737.1,1011.8,23.3,17200000,14400000,100,91.4,1.88,1.91,2.19,-0.03,1.895,2.035,2.05,1.993333333,13.37,15.33,14.35,1890,-1.3,-1.4,73
457,Co-Ni-S,NiCo2S4,200.0,1000.0,200.0,1000.0,1.35,58.933,58.693,32.06,116,115,102,192,163,180,6.71,6.59,15.5,63,112,200.4,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,999.6,23.3,17200000,14400000,100,91.4,1.88,1.91,2.58,-0.03,1.895,2.23,2.245,2.123333333,13.37,18.06,15.715,1890,-1.3,-1.4,57
457,Co-Ni-P,P-NiCo2S4,500.0,600.0,500.0,600.0,1.3,58.933,58.693,30.974,116,115,107,192,163,180,6.71,6.59,17,63,112,72,7,8,3,-1,7.5,9,10,5,-1,9.5,760.4,737.1,1011.8,23.3,17200000,14400000,100,91.4,1.88,1.91,2.19,-0.03,1.895,2.035,2.05,1.993333333,13.37,15.33,14.35,1890,-1.3,-1.4,150
458,Co-Pt-O,Pt?-Co?O?,100.0,500.0,100.0,2000.0,0.86,58.933,195.08,15.999,116,136,73,192,175,152,6.71,9.1,14,63,205.3,141,7,9,4,-2,8,9,10,6,-1,9.5,760.4,870.8,1313.9,-110.4,17200000,94000000,100,71.6,1.88,2.28,3.44,-0.4,2.08,2.66,2.86,2.533333333,15.96,24.08,20.02,1918,-1.3,-2.2,220
459,Co-Ni-O,PtFeCoNiCu@rGO,100.0,500.0,100.0,500.0,0.77,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,148
459,**-**-C,SP,100.0,500.0,100.0,500.0,1.29,none,none,12.011,none,none,76,none,none,170,none,none,5.29,none,none,121.8,none,none,0,none,none,none,none,4,none,none,none,none,1086.5,none,none,none,none,none,none,none,2.55,none,none,none,none,none,none,none,none,none,none,none,13
463,Ru-**-O,RuO? catalyst (without TBPA),500.0,1000.0,500.0,1000.0,1.1,101.07,none,15.999,126,none,73,207,none,152,8.3,none,14,101.3,none,141,7,none,4,none,none,8,none,6,none,none,710.2,none,1313.9,none,13700000,none,117,none,2.2,none,3.44,none,none,2.82,none,none,none,24.08,none,none,-1.2,none,150
470,**-**-C,K3T1 (KB:MWCNTs= 3:1),100.0,500.0,100.0,500.0,1.4,none,none,12.011,none,none,76,none,none,170,none,none,5.29,none,none,121.8,none,none,0,none,none,none,none,4,none,none,none,none,1086.5,none,none,none,none,none,none,none,2.55,none,none,none,none,none,none,none,none,none,none,none,31
477,Ni-**-N,Ni2-N/rGO,200.0,500.0,200.0,500.0,1.08,58.693,none,14.007,115,none,75,163,none,155,6.59,none,17.3,112,none,-7,8,none,3,none,none,10,none,5,none,none,737.1,none,1402.3,none,14400000,none,91.4,none,1.91,none,3.04,none,none,2.475,none,none,none,24.32,none,none,-1.4,none,225
477,Ni-**-N,Ni2-N/rGO,500.0,500.0,500.0,500.0,1.1,58.693,none,14.007,115,none,75,163,none,155,6.59,none,17.3,112,none,-7,8,none,3,none,none,10,none,5,none,none,737.1,none,1402.3,none,14400000,none,91.4,none,1.91,none,3.04,none,none,2.475,none,none,none,24.32,none,none,-1.4,none,300
478,Ru-**-O,Pt/C+RuO2,200.0,500.0,200.0,500.0,1.2,101.07,none,15.999,126,none,73,207,none,152,8.3,none,14,101.3,none,141,7,none,4,none,none,8,none,6,none,none,710.2,none,1313.9,none,13700000,none,117,none,2.2,none,3.44,none,none,2.82,none,none,none,24.08,none,none,-1.2,none,108
483,Fe-**-N,Fe/N/C,200.0,1000.0,200.0,1000.0,1.3,55.845,none,14.007,115,none,75,194,none,155,7.11,none,17.3,15,none,-7,6,none,3,none,none,8,none,5,none,none,762.5,none,1402.3,none,10000000,none,80.4,none,1.83,none,3.04,none,none,2.435,none,none,none,18.24,none,none,-1.45,none,30
489,Co-Fe-O,CoFe-LDH(CoFeO),500.0,500.0,500.0,1000.0,1.01,58.933,55.845,15.999,116,115,73,192,194,152,6.71,7.11,14,63,15,141,7,6,4,1,6.5,9,8,6,1,8.5,760.4,762.5,1313.9,-2.1,17200000,10000000,100,80.4,1.88,1.83,3.44,0.05,1.855,2.66,2.635,2.383333333,12.81,24.08,18.445,1890,-1.3,-1.45,93
494,Fe-**-O,Fe2O3,100.0,500.0,100.0,500.0,1.4,55.845,none,15.999,115,none,73,194,none,152,7.11,none,14,15,none,141,6,none,4,none,none,8,none,6,none,none,762.5,none,1313.9,none,10000000,none,80.4,none,1.83,none,3.44,none,none,2.635,none,none,none,20.64,none,none,-1.45,none,40
495,La-Fe-O,L0.80FCCO,200.0,500.0,200.0,500.0,1.4,138.91,55.845,15.999,169,115,73,240,194,152,22.6,7.11,14,48,15,141,1,6,4,-5,3.5,3,8,6,-5,5.5,538.1,762.5,1313.9,-224.4,1340000,10000000,13.4,80.4,1.1,1.83,3.44,-0.73,1.465,2.27,2.635,2.123333333,1.83,3.44,2.635,284,none,-1.45,34
495,Fe-La-O,L0.75FCCO,200.0,500.0,200.0,500.0,1.28,55.845,138.91,15.999,115,169,73,194,240,152,7.11,22.6,14,15,48,141,6,1,4,5,3.5,8,3,6,5,5.5,762.5,538.1,1313.9,224.4,10000000,1340000,80.4,13.4,1.83,1.1,3.44,0.73,1.465,2.635,2.27,2.123333333,6.6,20.64,13.62,1704,-1.45,none,21
495,Fe-La-O,L0.70FCCO,200.0,500.0,200.0,500.0,1.3,55.845,138.91,15.999,115,169,73,194,240,152,7.11,22.6,14,15,48,141,6,1,4,5,3.5,8,3,6,5,5.5,762.5,538.1,1313.9,224.4,10000000,1340000,80.4,13.4,1.83,1.1,3.44,0.73,1.465,2.635,2.27,2.123333333,6.6,20.64,13.62,1704,-1.45,none,38
498,Co-Ru-O,RuO2@Co3O4,250.0,500.0,250.0,500.0,0.94,58.933,101.07,15.999,116,126,73,192,207,152,6.71,8.3,14,63,101.3,141,7,7,4,0,7,9,8,6,1,8.5,760.4,710.2,1313.9,50.2,17200000,13700000,100,117,1.88,2.2,3.44,-0.32,2.04,2.66,2.82,2.506666667,15.4,24.08,19.74,1967,-1.3,-1.2,245
502,Mn-**-O,MnO,500.0,1000.0,100.0,1000.0,1.25,54.938,none,15.999,139,none,73,197,none,152,7.39,none,14,50,none,141,5,none,4,none,none,7,none,6,none,none,717.3,none,1313.9,none,695000,none,7.81,none,1.55,none,3.44,none,none,2.495,none,none,none,17.2,none,none,-1.6,none,55
507,Co-Ru-N,Ru@ZIF-67-280,200.0,500.0,200.0,500.0,0.95,58.933,101.07,14.007,116,126,75,192,207,155,6.71,8.3,17.3,63,101.3,-7,7,7,3,0,7,9,8,5,1,8.5,760.4,710.2,1402.3,50.2,17200000,13700000,100,117,1.88,2.2,3.04,-0.32,2.04,2.46,2.62,2.373333333,15.4,21.28,18.34,1967,-1.3,-1.2,272
507,Co-**-N,ZIF-67-280,200.0,500.0,200.0,500.0,1.0,58.933,none,14.007,116,none,75,192,none,155,6.71,none,17.3,63,none,-7,7,none,3,none,none,9,none,5,none,none,760.4,none,1402.3,none,17200000,none,100,none,1.88,none,3.04,none,none,2.46,none,none,none,21.28,none,none,-1.3,none,100
508,Fe-**-N,FePc ,100.0,1000.0,100.0,1000.0,1.35,55.845,none,14.007,115,none,75,194,none,155,7.11,none,17.3,15,none,-7,6,none,3,none,none,8,none,5,none,none,762.5,none,1402.3,none,10000000,none,80.4,none,1.83,none,3.04,none,none,2.435,none,none,none,18.24,none,none,-1.45,none,20
509,Cr-V-O,P-LSCr NWs (La0.8Sr0.2CrO3),500.0,1000.0,500.0,1000.0,1.25,51.996,50.942,15.999,135,131,73,189,192,152,7.23,8.35,14,64.3,50.6,141,5,3,4,2,4,6,5,6,1,5.5,652.9,650.9,1313.9,2,7670000,4890000,93.7,30.7,1.66,1.63,3.44,0.03,1.645,2.55,2.535,2.243333333,8.15,17.2,12.675,1330,-1.7,-1.8,83
517,Ru-**-O,RuO?,500.0,2000.0,500.0,500.0,1.1,101.07,none,15.999,126,none,73,207,none,152,8.3,none,14,101.3,none,141,7,none,4,none,none,8,none,6,none,none,710.2,none,1313.9,none,13700000,none,117,none,2.2,none,3.44,none,none,2.82,none,none,none,24.08,none,none,-1.2,none,111
519,Ni-Co-P,NiCoP@PNCF,200.0,500.0,200.0,500.0,1.3,58.693,58.933,30.974,115,116,107,163,192,180,6.59,6.71,17,112,63,72,8,7,3,1,7.5,10,9,5,1,9.5,737.1,760.4,1011.8,-23.3,14400000,17200000,91.4,100,1.91,1.88,2.19,0.03,1.895,2.05,2.035,1.993333333,15.04,17.52,16.28,1848,-1.4,-1.3,242
519,Co-**-P,CoP@PNCF,200.0,500.0,200.0,500.0,1.45,58.933,none,30.974,116,none,107,192,none,180,6.71,none,17,63,none,72,7,none,3,none,none,9,none,5,none,none,760.4,none,1011.8,none,17200000,none,100,none,1.88,none,2.19,none,none,2.035,none,none,none,15.33,none,none,-1.3,none,196
522,Mo-Ni-S,NiS/MoS2,200.0,500.0,200.0,500.0,1.25,95.95,58.693,32.06,139,115,102,209,163,180,9.38,6.59,15.5,72,112,200.4,5,8,4,-3,6.5,6,10,6,-4,8,684.3,737.1,999.6,-52.8,18700000,14400000,138,91.4,2.16,1.91,2.58,0.25,2.035,2.37,2.245,2.216666667,9.55,12.9,11.225,1270,-1.6,-1.4,163
522,Ni-**-S,NiS,200.0,500.0,200.0,500.0,1.4,58.693,none,32.06,115,none,102,163,none,180,6.59,none,15.5,112,none,200.4,8,none,4,none,none,10,none,6,none,none,737.1,none,999.6,none,14400000,none,91.4,none,1.91,none,2.58,none,none,2.245,none,none,none,20.64,none,none,-1.4,none,107
522,Ni-**-S,NiS,400.0,500.0,400.0,500.0,1.45,58.693,none,32.06,115,none,102,163,none,180,6.59,none,15.5,112,none,200.4,8,none,4,none,none,10,none,6,none,none,737.1,none,999.6,none,14400000,none,91.4,none,1.91,none,2.58,none,none,2.245,none,none,none,20.64,none,none,-1.4,none,86
523,Co-Ni-F,CoNiO2-xFx/CC,1000.0,1000.0,1000.0,1000.0,1.2,58.933,58.693,18.998,116,115,64,192,163,147,6.71,6.59,17.1,63,112,328.2,7,8,5,-1,7.5,9,10,7,-1,9.5,760.4,737.1,1681,23.3,17200000,14400000,100,91.4,1.88,1.91,3.98,-0.03,1.895,2.93,2.945,2.59,13.37,27.86,20.615,1617,-1.3,-1.4,155
525,Fe-**-O,Fe-TCPP,500.0,500.0,500.0,500.0,1.4,55.845,none,15.999,115,none,73,194,none,152,7.11,none,14,15,none,141,6,none,4,none,none,8,none,6,none,none,762.5,none,1313.9,none,10000000,none,80.4,none,1.83,none,3.44,none,none,2.635,none,none,none,20.64,none,none,-1.45,none,45
526,Co-**-P,CoP,500.0,500.0,500.0,500.0,1.38,58.933,none,30.974,116,none,107,192,none,180,6.71,none,17,63,none,72,7,none,3,none,none,9,none,5,none,none,760.4,none,1011.8,none,17200000,none,100,none,1.88,none,2.19,none,none,2.035,none,none,none,15.33,none,none,-1.3,none,154
528,Mn-Co-O,CoMnO-700,200.0,500.0,200.0,500.0,1.2,54.938,58.933,15.999,139,116,73,197,192,152,7.39,6.71,14,50,63,141,5,7,4,-2,6,7,9,6,-2,8,717.3,760.4,1313.9,-43.1,695000,17200000,7.81,100,1.55,1.88,3.44,-0.33,1.715,2.495,2.66,2.29,9.4,17.2,13.3,1275,-1.6,-1.3,126
532,Ru-**-N,Ru@CNS/CNT,200.0,1000.0,100.0,1000.0,1.3,101.07,none,14.007,126,none,75,207,none,155,8.3,none,17.3,101.3,none,-7,7,none,3,none,none,8,none,5,none,none,710.2,none,1402.3,none,13700000,none,117,none,2.2,none,3.04,none,none,2.62,none,none,none,21.28,none,none,-1.2,none,79
540,Mo-**-S,MoS2,100.0,600.0,100.0,600.0,1.3,95.95,none,32.06,139,none,102,209,none,180,9.38,none,15.5,72,none,200.4,5,none,4,none,none,6,none,6,none,none,684.3,none,999.6,none,18700000,none,138,none,2.16,none,2.58,none,none,2.37,none,none,none,12.9,none,none,-1.6,none,63
540,Mo-**-S,MoS2,200.0,600.0,100.0,1000.0,1.25,95.95,none,32.06,139,none,102,209,none,180,9.38,none,15.5,72,none,200.4,5,none,4,none,none,6,none,6,none,none,684.3,none,999.6,none,18700000,none,138,none,2.16,none,2.58,none,none,2.37,none,none,none,12.9,none,none,-1.6,none,75
540,Mn-Mo-S,MnS/MoS2,500.0,1000.0,500.0,1000.0,1.25,54.938,95.95,32.06,139,139,102,197,209,180,7.39,9.38,15.5,50,72,200.4,5,5,4,0,5,7,6,6,1,6.5,717.3,684.3,999.6,33,695000,18700000,7.81,138,1.55,2.16,2.58,-0.61,1.855,2.065,2.37,2.096666667,10.8,12.9,11.85,1390,-1.6,-1.6,100
543,Co-Ru-N,NC/Co3Ru-NDs (with bare Li anode),500.0,500.0,500.0,500.0,0.95,58.933,101.07,14.007,116,126,75,192,207,155,6.71,8.3,17.3,63,101.3,-7,7,7,3,0,7,9,8,5,1,8.5,760.4,710.2,1402.3,50.2,17200000,13700000,100,117,1.88,2.2,3.04,-0.32,2.04,2.46,2.62,2.373333333,15.4,21.28,18.34,1967,-1.3,-1.2,220
545,Cr-Ni-O,MMONF-11%,100.0,250.0,50.0,250.0,1.22,51.996,58.693,15.999,135,115,73,189,163,152,7.23,6.59,14,64.3,112,141,5,8,4,-3,6.5,6,10,6,-4,8,652.9,737.1,1313.9,-84.2,7670000,14400000,93.7,91.4,1.66,1.91,3.44,-0.25,1.785,2.55,2.675,2.336666667,9.55,17.2,13.375,1250,-1.7,-1.4,125
545,Cr-Ni-O,MMONF-50%,100.0,250.0,50.0,250.0,1.32,51.996,58.693,15.999,135,115,73,189,163,152,7.23,6.59,14,64.3,112,141,5,8,4,-3,6.5,6,10,6,-4,8,652.9,737.1,1313.9,-84.2,7670000,14400000,93.7,91.4,1.66,1.91,3.44,-0.25,1.785,2.55,2.675,2.336666667,9.55,17.2,13.375,1250,-1.7,-1.4,100
547,Co-Ni-O,h-MoO3/NiCo2O4,500.0,500.0,500.0,500.0,0.84,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,133
549,Ru-**-O,RuO2,200.0,500.0,200.0,500.0,1.11,101.07,none,15.999,126,none,73,207,none,152,8.3,none,14,101.3,none,141,7,none,4,none,none,8,none,6,none,none,710.2,none,1313.9,none,13700000,none,117,none,2.2,none,3.44,none,none,2.82,none,none,none,24.08,none,none,-1.2,none,110
553,Ru-Co-N,RuCo-NC,500.0,1000.0,200.0,1000.0,1.05,101.07,58.933,14.007,126,116,75,207,192,155,8.3,6.71,17.3,101.3,63,-7,7,7,3,0,7,8,9,5,-1,8.5,710.2,760.4,1402.3,-50.2,13700000,17200000,117,100,2.2,1.88,3.04,0.32,2.04,2.62,2.46,2.373333333,13.16,21.28,17.22,1694,-1.2,-1.3,298
553,Ru-**-N,Ru-NC,500.0,1000.0,200.0,1000.0,1.17,101.07,none,14.007,126,none,75,207,none,155,8.3,none,17.3,101.3,none,-7,7,none,3,none,none,8,none,5,none,none,710.2,none,1402.3,none,13700000,none,117,none,2.2,none,3.04,none,none,2.62,none,none,none,21.28,none,none,-1.2,none,183
554,Pd-**-C,Pt1Pd/C,500.0,1000.0,500.0,1000.0,1.12,106.42,none,12.011,138,none,76,163,none,170,8.85,none,5.29,54,none,121.8,10,none,0,none,none,10,none,4,none,none,804.4,none,1086.5,none,95000000,none,71.8,none,2.2,none,2.55,none,none,2.375,none,none,none,25.5,none,none,-2,none,10
